                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,0.87649,0.73963,1.1847,0.37446,0.85608,0.5034,0.26276,1.7141,2.3789,1.816,0.0033305,0.0033305,0.0033305
2,0.9018,0.76682,1.1946,0.61275,0.47201,0.54321,0.26256,1.7068,2.2703,1.7972,0.0065319,0.0065319,0.0065319
3,0.93544,0.80459,1.2207,0.36868,0.66318,0.42568,0.20817,1.7002,2.7887,1.8253,0.0096013,0.0096013,0.0096013
4,0.95337,0.8588,1.2375,0.52382,0.60873,0.50556,0.26474,1.6249,1.9963,1.7509,0.009406,0.009406,0.009406
5,0.95374,0.85641,1.2333,0.54786,0.68767,0.56779,0.30374,1.5436,1.7093,1.6851,0.009208,0.009208,0.009208
6,0.94379,0.85219,1.2307,0.30777,0.75115,0.39825,0.20418,1.7806,2.9603,1.8913,0.00901,0.00901,0.00901
7,0.94805,0.85282,1.2337,0.51609,0.72175,0.5983,0.33615,1.5653,1.2441,1.7131,0.008812,0.008812,0.008812
8,0.94821,0.84951,1.233,0.63486,0.55896,0.61238,0.33625,1.6212,1.9762,1.7532,0.008614,0.008614,0.008614
9,0.94846,0.84134,1.227,0.5554,0.63306,0.56941,0.2959,1.6551,1.9755,1.7867,0.008416,0.008416,0.008416
10,0.95062,0.84844,1.2276,0.52854,0.69425,0.5641,0.29159,1.5932,1.6435,1.7236,0.008218,0.008218,0.008218
11,1.0313,0.45904,1.3276,0.63729,0.75989,0.66838,0.27382,1.7914,1.4104,1.8286,0.008416,0.008416,0.008416
12,1.0211,0.45029,1.3251,0.65608,0.75392,0.70441,0.33718,1.607,1.2663,1.6881,0.008218,0.008218,0.008218
13,1.0095,0.44206,1.3184,0.75823,0.81962,0.81466,0.50042,1.3051,1.0309,1.4835,0.00802,0.00802,0.00802
14,1.0067,0.43571,1.3123,0.6539,0.76779,0.7131,0.34296,1.6258,1.309,1.7339,0.007822,0.007822,0.007822
15,1.0027,0.42873,1.3085,0.65419,0.73752,0.70105,0.33525,1.6391,1.4703,1.7227,0.007624,0.007624,0.007624
16,0.99442,0.42339,1.3036,0.69856,0.75577,0.72713,0.438,1.3461,1.3531,1.5081,0.007426,0.007426,0.007426
17,0.99007,0.42171,1.2979,0.68228,0.81368,0.77122,0.37083,1.6268,1.2277,1.7145,0.007228,0.007228,0.007228
18,0.98465,0.41368,1.291,0.7822,0.84816,0.84564,0.53956,1.2591,0.93527,1.4331,0.00703,0.00703,0.00703
